ruta_repo,archivo,extension,ancho_px,alto_px,ratio_real,carpeta_origen
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S01_chatgpt_v01.png,H3_S01_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S02_chatgpt_v01.png,H3_S02_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S03_chatgpt_v01.png,H3_S03_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S04_chatgpt_v01.png,H3_S04_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S05_chatgpt_v01.png,H3_S05_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S06_chatgpt_v01.png,H3_S06_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S06_chatgpt_v02.png,H3_S06_chatgpt_v02.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S06_chatgpt_v03.png,H3_S06_chatgpt_v03.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S07_chatgpt_v01.png,H3_S07_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/chatgpt/H3_baseline/H3_S08_chatgpt_v01.png,H3_S08_chatgpt_v01.png,.png,1536,1024,1.5,H3_baseline
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v01.jpeg,H3_S01_ideogram_refined_with_reference_v01.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v02.jpeg,H3_S01_ideogram_refined_with_reference_v02.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v03.jpeg,H3_S01_ideogram_refined_with_reference_v03.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S01_ideogram_refined_with_reference_v04.jpeg,H3_S01_ideogram_refined_with_reference_v04.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v01.jpeg,H3_S04_ideogram_refined_with_reference_v01.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v02.jpeg,H3_S04_ideogram_refined_with_reference_v02.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v03.jpeg,H3_S04_ideogram_refined_with_reference_v03.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S04_ideogram_refined_with_reference_v04.jpeg,H3_S04_ideogram_refined_with_reference_v04.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v01.jpeg,H3_S07_ideogram_refined_with_reference_v01.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v02.jpeg,H3_S07_ideogram_refined_with_reference_v02.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v03.jpeg,H3_S07_ideogram_refined_with_reference_v03.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
outputs/images/entregable_E/ideogram/H3_refined_with_reference/H3_S07_ideogram_refined_with_reference_v04.jpeg,H3_S07_ideogram_refined_with_reference_v04.jpeg,.jpeg,1376,768,1.792,H3_refined_with_reference
