ruta,entregable,herramienta_inferida,historia,archivo,extension,ancho_px,alto_px
storyboards/entregable_E/H3_chatgpt_preliminar/S01_final.png,entregable_E,chatgpt,H3,S01_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S02_final.png,entregable_E,chatgpt,H3,S02_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S03_final.png,entregable_E,chatgpt,H3,S03_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S04_final.png,entregable_E,chatgpt,H3,S04_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S05_final.png,entregable_E,chatgpt,H3,S05_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S06_final.png,entregable_E,chatgpt,H3,S06_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S07_final.png,entregable_E,chatgpt,H3,S07_final.png,.png,1536,1024
storyboards/entregable_E/H3_chatgpt_preliminar/S08_final.png,entregable_E,chatgpt,H3,S08_final.png,.png,1536,1024
storyboards/entregable_D/H3_mapa_del_viento/H3_S01_final.jpg,entregable_D,unknown,H3,H3_S01_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S02_final.jpg,entregable_D,unknown,H3,H3_S02_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S03_final.jpg,entregable_D,unknown,H3,H3_S03_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S04_final.jpg,entregable_D,unknown,H3,H3_S04_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S05_final.jpg,entregable_D,unknown,H3,H3_S05_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S06_final.jpg,entregable_D,unknown,H3,H3_S06_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S07_final.jpg,entregable_D,unknown,H3,H3_S07_final.jpg,.jpg,1376,768
storyboards/entregable_D/H3_mapa_del_viento/H3_S08_final.jpg,entregable_D,unknown,H3,H3_S08_final.jpg,.jpg,1376,768
images/entregable_E/references/ChatGPTReferenceImage.png,entregable_E,chatgpt,unknown,ChatGPTReferenceImage.png,.png,1672,941
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S01_leonardo_phoenix_refined_v01.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v01.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S01_leonardo_phoenix_refined_v02.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v02.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S01_leonardo_phoenix_refined_v03.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v03.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S01_leonardo_phoenix_refined_v04.jpg,entregable_E,leonardo,H3,H3_S01_leonardo_phoenix_refined_v04.jpg,.jpg,1184,672
images/entregable_E/leonardo/H3_refined_prompt_enhance_off/H3_S04_leonardo_phoenix_refined_v01.jpg,entregable_E,leonardo,H3,H3_S04_leonardo_phoenix_refined_v01.jpg,.jpg,1184,672
